n_subchannels,ppv_fixed,ppv_adaptive,fixed,adaptive
2,3.000000e-02,1.285714e-02,3.000000e-02,3.000000e-02
3,2.000000e-02,8.571429e-03,2.000000e-02,2.000000e-02
4,2.000000e-02,1.319149e-02,4.000000e-02,2.000000e-02
5,2.000000e-02,1.560976e-02,4.000000e-02,2.000000e-02
6,2.000000e-02,1.744000e-02,5.000000e-02,4.000000e-02
7,1.100000e-01,9.864130e-02,1.400000e-01,1.100000e-01
